char_ngram_range,char_max_features,char_min_df,word_ngram_range,word_max_features,word_min_df,word_max_df,loss,alpha,penalty,max_iter,tol,class_weight,val_macro_f1,val_micro_f1,val_subset_acc,seconds
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6467576115465241,0.7010347409539103,0.4298110566829951,465.2
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.646747813985556,0.7008491476939459,0.4297644040121297,457.23
"(3, 5)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6466630958723618,0.7011713994571344,0.42909571572972555,431.65
"(3, 5)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6465850013095272,0.7007835676221563,0.42884690148511,461.02
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6427868341487225,0.6996987788820548,0.4313816966021305,736.44
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6426586744904802,0.6997093481738503,0.4304641940751108,1236.86
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6424881704372968,0.6997551285462392,0.4310706787963611,460.14
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6424629912036184,0.6996965173905005,0.43099292434491876,477.67
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6424263852056452,0.6996802662493743,0.4311173314672265,647.36
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6423298991995701,0.6995741612779668,0.4304175414042454,1006.78
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6423024776786238,0.6995293958703924,0.4301220744887645,461.29
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0005,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6422456116878626,0.6994485791000666,0.4303242360625146,476.73
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6376160768078641,0.6960251309654539,0.42317082652981886,816.21
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,0.0001,balanced,0.6376034206882404,0.6963165738418662,0.42327968276183814,1191.63
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6375354209285281,0.6961515956249719,0.4231863774201073,800.36
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.637519940041441,0.6958816890515609,0.4221289168804914,924.1
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.4,hinge,0.001,l2,8000,1e-05,balanced,0.6374689725588111,0.696266751898586,0.42321747920068425,1266.85
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,1e-05,balanced,0.6374206191940636,0.6961688805322274,0.4221755695513568,697.34
"(4, 7)",100000,0.0005,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.637117532104495,0.6959313619684869,0.4222222222222222,730.63
"(4, 7)",100000,0.0001,"(1, 4)",100000,0.0001,0.6,hinge,0.001,l2,8000,0.0001,balanced,0.6369299550881461,0.6958281248594836,0.4221755695513568,644.09
